*****************************
Basic coeficients
*****************************
Alpha, Cd
  -16.00    ,    .9697E-01
  -8.000    ,    .3369E-01
  -6.000    ,    .2386E-01
  -4.000    ,    .1780E-01
  -2.000    ,    .1527E-01
    .000    ,    .1636E-01
   2.000    ,    .2090E-01
   4.000    ,    .2933E-01
   8.000    ,    .5804E-01
   9.000    ,    .6666E-01
   10.00    ,    .7579E-01
   12.00    ,    .9523E-01
   14.00    ,    .1151    
   16.00    ,    .1231    
   18.00    ,    .1308    
   19.00    ,    .1372    
   20.00    ,    .1463    
   21.00    ,    .1569    
   22.00    ,    .1676    
   24.00    ,    .1889    

Alpha, CL
  -16.00    ,   -1.286    
  -8.000    ,   -.6159    
  -6.000    ,   -.4200    
  -4.000    ,   -.2235    
  -2.000    ,   -.3126E-01
    .000    ,    .1609    
   2.000    ,    .3557    
   4.000    ,    .5533    
   8.000    ,    .9495    
   9.000    ,    1.038    
   10.00    ,    1.117    
   12.00    ,    1.254    
   14.00    ,    1.363    
   16.00    ,    1.328    
   18.00    ,    1.218    
   19.00    ,    1.167    
   20.00    ,    1.136    
   21.00    ,    1.115    
   22.00    ,    1.092    
   24.00    ,    1.062    

Alpha, Cm
  -16.00    ,    .3386    
  -8.000    ,    .2192    
  -6.000    ,    .1809    
  -4.000    ,    .1444    
  -2.000    ,    .1085    
    .000    ,    .7523E-01
   2.000    ,    .4332E-01
   4.000    ,    .1268E-01
   8.000    ,   -.4815E-01
   9.000    ,   -.6576E-01
   10.00    ,   -.8365E-01
   12.00    ,   -.1281    
   14.00    ,     .000    
   16.00    ,     .000    
   18.00    ,     .000    
   19.00    ,     .000    
   20.00    ,     .000    
   21.00    ,     .000    
   22.00    ,     .000    
   24.00    ,     .000    

Alpha, Cyb
  -16.00    ,   -.1233E-01
  -8.000    ,   -.1233E-01
  -6.000    ,   -.1233E-01
  -4.000    ,   -.1233E-01
  -2.000    ,   -.1233E-01
    .000    ,   -.1233E-01
   2.000    ,   -.1233E-01
   4.000    ,   -.1233E-01
   8.000    ,   -.1233E-01
   9.000    ,   -.1233E-01
   10.00    ,   -.1233E-01
   12.00    ,   -.1233E-01
   14.00    ,   -.1233E-01
   16.00    ,   -.1233E-01
   18.00    ,   -.1233E-01
   19.00    ,   -.1233E-01
   20.00    ,   -.1233E-01
   21.00    ,   -.1233E-01
   22.00    ,   -.1233E-01
   24.00    ,   -.1233E-01

Alpha, Cnb
  -16.00    ,    .9162E-03
  -8.000    ,    .9162E-03
  -6.000    ,    .9162E-03
  -4.000    ,    .9162E-03
  -2.000    ,    .9162E-03
    .000    ,    .9162E-03
   2.000    ,    .9162E-03
   4.000    ,    .9162E-03
   8.000    ,    .9162E-03
   9.000    ,    .9162E-03
   10.00    ,    .9162E-03
   12.00    ,    .9162E-03
   14.00    ,    .9162E-03
   16.00    ,    .9162E-03
   18.00    ,    .9162E-03
   19.00    ,    .9162E-03
   20.00    ,    .9162E-03
   21.00    ,    .9162E-03
   22.00    ,    .9162E-03
   24.00    ,    .9162E-03

Alpha, Clb
  -16.00    ,   -.3136E-02
  -8.000    ,   -.2772E-02
  -6.000    ,   -.2677E-02
  -4.000    ,   -.2581E-02
  -2.000    ,   -.2483E-02
    .000    ,   -.2384E-02
   2.000    ,   -.2284E-02
   4.000    ,   -.2182E-02
   8.000    ,   -.1978E-02
   9.000    ,   -.1929E-02
   10.00    ,   -.1881E-02
   12.00    ,   -.1788E-02
   14.00    ,   -.1699E-02
   16.00    ,   -.1639E-02
   18.00    ,   -.1586E-02
   19.00    ,   -.1552E-02
   20.00    ,   -.1518E-02
   21.00    ,   -.1480E-02
   22.00    ,   -.1443E-02
   24.00    ,   -.1361E-02

Alpha, Q_Qinf
  -16.00    ,    1.000    
  -8.000    ,    1.000    
  -6.000    ,    1.000    
  -4.000    ,    1.000    
  -2.000    ,    1.000    
    .000    ,    1.000    
   2.000    ,    1.000    
   4.000    ,    1.000    
   8.000    ,    1.000    
   9.000    ,    1.000    
   10.00    ,    1.000    
   12.00    ,    1.000    
   14.00    ,    1.000    
   16.00    ,    1.000    
   18.00    ,    1.000    
   19.00    ,    1.000    
   20.00    ,    1.000    
   21.00    ,    1.000    
   22.00    ,    1.000    
   24.00    ,    .9191    

Alpha, Epslon
  -16.00    ,   -5.186    
  -8.000    ,   -2.431    
  -6.000    ,   -1.586    
  -4.000    ,   -.7200    
  -2.000    ,    .1576    
    .000    ,    1.059    
   2.000    ,    1.994    
   4.000    ,    2.957    
   8.000    ,    4.903    
   9.000    ,    5.350    
   10.00    ,    5.777    
   12.00    ,    6.446    
   14.00    ,    6.866    
   16.00    ,    6.799    
   18.00    ,    6.568    
   19.00    ,    6.368    
   20.00    ,    6.336    
   21.00    ,    6.483    
   22.00    ,    6.398    
   24.00    ,    6.509    

Alpha, d_Epslon
  -16.00    ,    .3444    
  -8.000    ,    .4069    
  -6.000    ,    .4278    
  -4.000    ,    .4359    
  -2.000    ,    .4448    
    .000    ,    .4590    
   2.000    ,    .4744    
   4.000    ,    .4833    
   8.000    ,    .4547    
   9.000    ,    .4371    
   10.00    ,    .3964    
   12.00    ,    .2723    
   14.00    ,    .8827E-01
   16.00    ,   -.7451E-01
   18.00    ,   -.1717    
   19.00    ,   -.1161    
   20.00    ,    .5740E-01
   21.00    ,    .3109E-01
   22.00    ,   -.3811E-01
   24.00    ,    .5553E-01

Alpha, CLq
  -16.00    ,    .1275    
  -8.000    ,    .1275    
  -6.000    ,    .1275    
  -4.000    ,    .1275    
  -2.000    ,    .1275    
    .000    ,    .1275    
   2.000    ,    .1275    
   4.000    ,    .1275    
   8.000    ,    .1275    
   9.000    ,    .1275    
   10.00    ,    .1275    
   12.00    ,    .1275    
   14.00    ,    .1275    
   16.00    ,    .1275    
   18.00    ,    .1275    
   19.00    ,    .1275    
   20.00    ,    .1275    
   21.00    ,    .1275    
   22.00    ,    .1275    
   24.00    ,    .1275    

Alpha, Cmq
  -16.00    ,   -.2629    
  -8.000    ,   -.2629    
  -6.000    ,   -.2629    
  -4.000    ,   -.2629    
  -2.000    ,   -.2629    
    .000    ,   -.2629    
   2.000    ,   -.2629    
   4.000    ,   -.2629    
   8.000    ,   -.2629    
   9.000    ,   -.2629    
   10.00    ,   -.2629    
   12.00    ,   -.2629    
   14.00    ,   -.2629    
   16.00    ,   -.2629    
   18.00    ,   -.2629    
   19.00    ,   -.2629    
   20.00    ,   -.2629    
   21.00    ,   -.2629    
   22.00    ,   -.2629    
   24.00    ,   -.2629    

Alpha, CLad_Basic
  -16.00    ,    .3114E-01
  -8.000    ,    .3679E-01
  -6.000    ,    .3868E-01
  -4.000    ,    .3942E-01
  -2.000    ,    .4023E-01
    .000    ,    .4151E-01
   2.000    ,    .4290E-01
   4.000    ,    .4370E-01
   8.000    ,    .4112E-01
   9.000    ,    .3953E-01
   10.00    ,    .3585E-01
   12.00    ,    .2462E-01
   14.00    ,    .7982E-02
   16.00    ,   -.6738E-02
   18.00    ,   -.1553E-01
   19.00    ,   -.1050E-01
   20.00    ,    .5190E-02
   21.00    ,    .2811E-02
   22.00    ,   -.3446E-02
   24.00    ,    .4615E-02

Alpha, Cmad_Basic
  -16.00    ,   -.8757E-01
  -8.000    ,   -.1035    
  -6.000    ,   -.1088    
  -4.000    ,   -.1108    
  -2.000    ,   -.1131    
    .000    ,   -.1167    
   2.000    ,   -.1206    
   4.000    ,   -.1229    
   8.000    ,   -.1156    
   9.000    ,   -.1111    
   10.00    ,   -.1008    
   12.00    ,   -.6924E-01
   14.00    ,   -.2245E-01
   16.00    ,    .1895E-01
   18.00    ,    .4367E-01
   19.00    ,    .2952E-01
   20.00    ,   -.1459E-01
   21.00    ,   -.7906E-02
   22.00    ,    .9691E-02
   24.00    ,   -.1298E-01

Alpha, Clp
  -16.00    ,   -.6164E-02
  -8.000    ,   -.8207E-02
  -6.000    ,   -.8390E-02
  -4.000    ,   -.8209E-02
  -2.000    ,   -.8133E-02
    .000    ,   -.8248E-02
   2.000    ,   -.8388E-02
   4.000    ,   -.8343E-02
   8.000    ,   -.6756E-02
   9.000    ,   -.6048E-02
   10.00    ,   -.5266E-02
   12.00    ,   -.3544E-02
   14.00    ,    .1423E-02
   16.00    ,    .6893E-02
   18.00    ,    .7468E-02
   19.00    ,    .5777E-02
   20.00    ,    .4163E-02
